Falhas,Tempo(s),Coeficiente
10,18,1.8
46,98,2.13
82,182,2.22
141,319,2.25
163,371,2.25
39,82,2.1
123,277,2.25
26,52,2.0
157,357,2.25
51,109,2.14
9,16,1.78
17,33,1.94
89,198,2.22
50,107,2.14
147,333,2.25
189,431,2.25
66,144,2.18
126,284,2.25
65,142,2.18
4,7,1.75
190,434,2.25
98,219,2.24
170,387,2.25
95,212,2.23
187,427,2.25
131,296,2.25
108,242,2.24
125,282,2.25
103,231,2.24
72,158,2.2
194,443,2.25
47,100,2.13
166,378,2.25
140,317,2.25
112,252,2.25
28,57,2.04
78,172,2.21
179,408,2.25
184,420,2.25
102,228,2.24
183,417,2.25
168,382,2.25
6,10,1.67
22,44,2.0
161,366,2.25
124,280,2.25
173,394,2.25
165,375,2.25
97,217,2.24
151,343,2.25
167,380,2.25
71,156,2.2
145,329,2.25
149,338,2.25
101,226,2.24
196,448,2.25
52,112,2.15
174,396,2.25
83,184,2.22
155,352,2.25
